Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
16.14	ENB PHY Txed	1614	0	0	2	0	0	MIB
16.145	ENB PHY Txed	1614	5	0	2	0	0	SIB1
16.15	ENB PHY Txed	1615	0	0	2	0	0	MIB
16.1505	ENB PHY Txed	1615	0	1	2	0	0	UL_UCI
16.155	ENB PHY Txed	1615	5	0	2	0	0	SIB1
16.16	ENB PHY Txed	1616	0	0	2	0	0	MIB
16.165	ENB PHY Txed	1616	5	0	2	0	0	SIB1
16.17	ENB PHY Txed	1617	0	0	2	0	0	MIB
16.175	ENB PHY Txed	1617	5	0	2	0	0	SIB1
16.18	ENB PHY Txed	1618	0	0	2	0	0	MIB
16.185	ENB PHY Txed	1618	5	0	2	0	0	SIB1
16.19	ENB PHY Txed	1619	0	0	2	0	0	MIB
16.195	ENB PHY Txed	1619	5	0	2	0	0	SIB1
16.2	ENB PHY Txed	1620	0	0	2	0	0	MIB
16.2005	ENB PHY Txed	1620	0	1	2	0	0	UL_UCI
16.205	ENB PHY Txed	1620	5	0	2	0	0	SIB1
16.205	ENB PHY Txed	1620	5	0	2	0	0	UL_UCI
16.21	ENB PHY Txed	1621	0	0	2	0	0	UL_UCI
16.21	ENB PHY Txed	1621	0	0	2	0	0	MIB
16.2105	ENB PHY Txed	1621	0	1	2	0	0	UL_UCI
16.215	ENB PHY Txed	1621	5	0	2	0	0	SIB1
16.22	ENB PHY Txed	1622	0	0	2	0	0	MIB
16.225	ENB PHY Txed	1622	5	0	2	0	0	SIB1
16.23	ENB PHY Txed	1623	0	0	2	0	0	MIB
16.235	ENB PHY Txed	1623	5	0	2	0	0	SIB1
16.24	ENB PHY Txed	1624	0	0	2	0	0	MIB
16.245	ENB PHY Txed	1624	5	0	2	0	0	SIB1
16.25	ENB PHY Txed	1625	0	0	2	0	0	MIB
16.2505	ENB PHY Txed	1625	0	1	2	0	0	UL_UCI
16.255	ENB PHY Txed	1625	5	0	2	0	0	SIB1
16.26	ENB PHY Txed	1626	0	0	2	0	0	MIB
16.265	ENB PHY Txed	1626	5	0	2	0	0	SIB1
16.27	ENB PHY Txed	1627	0	0	2	0	0	MIB
16.275	ENB PHY Txed	1627	5	0	2	0	0	SIB1
16.28	ENB PHY Txed	1628	0	0	2	0	0	MIB
16.285	ENB PHY Txed	1628	5	0	2	0	0	SIB1
16.29	ENB PHY Txed	1629	0	0	2	0	0	MIB
16.295	ENB PHY Txed	1629	5	0	2	0	0	SIB1
16.3	ENB PHY Txed	1630	0	0	2	0	0	MIB
16.3005	ENB PHY Txed	1630	0	1	2	0	0	UL_UCI
16.305	ENB PHY Txed	1630	5	0	2	0	0	SIB1
16.305	ENB PHY Txed	1630	5	0	2	0	0	UL_UCI
16.31	ENB PHY Txed	1631	0	0	2	0	0	MIB
16.31	ENB PHY Txed	1631	0	0	2	0	0	UL_UCI
16.3105	ENB PHY Txed	1631	0	1	2	0	0	UL_UCI
16.315	ENB PHY Txed	1631	5	0	2	0	0	SIB1
16.32	ENB PHY Txed	1632	0	0	2	0	0	MIB
16.325	ENB PHY Txed	1632	5	0	2	0	0	SIB1
16.33	ENB PHY Txed	1633	0	0	2	0	0	MIB
16.335	ENB PHY Txed	1633	5	0	2	0	0	SIB1
16.34	ENB PHY Txed	1634	0	0	2	0	0	MIB
16.345	ENB PHY Txed	1634	5	0	2	0	0	SIB1
16.35	ENB PHY Txed	1635	0	0	2	0	0	MIB
16.3505	ENB PHY Txed	1635	0	1	2	0	0	UL_UCI
16.355	ENB PHY Txed	1635	5	0	2	0	0	SIB1
16.36	ENB PHY Txed	1636	0	0	2	0	0	MIB
16.365	ENB PHY Txed	1636	5	0	2	0	0	SIB1
16.37	ENB PHY Txed	1637	0	0	2	0	0	MIB
16.375	ENB PHY Txed	1637	5	0	2	0	0	SIB1
16.38	ENB PHY Txed	1638	0	0	2	0	0	MIB
16.385	ENB PHY Txed	1638	5	0	2	0	0	SIB1
16.39	ENB PHY Txed	1639	0	0	2	0	0	MIB
16.395	ENB PHY Txed	1639	5	0	2	0	0	SIB1
16.4	ENB PHY Txed	1640	0	0	2	0	0	MIB
16.4005	ENB PHY Txed	1640	0	1	2	0	0	UL_UCI
16.405	ENB PHY Txed	1640	5	0	2	0	0	SIB1
16.405	ENB PHY Txed	1640	5	0	2	0	0	UL_UCI
16.41	ENB PHY Txed	1641	0	0	2	0	0	UL_UCI
16.41	ENB PHY Txed	1641	0	0	2	0	0	MIB
16.4105	ENB PHY Txed	1641	0	1	2	0	0	UL_UCI
16.415	ENB PHY Txed	1641	5	0	2	0	0	SIB1
16.42	ENB PHY Txed	1642	0	0	2	0	0	MIB
16.425	ENB PHY Txed	1642	5	0	2	0	0	SIB1
16.43	ENB PHY Txed	1643	0	0	2	0	0	MIB
16.435	ENB PHY Txed	1643	5	0	2	0	0	SIB1
16.44	ENB PHY Txed	1644	0	0	2	0	0	MIB
16.445	ENB PHY Txed	1644	5	0	2	0	0	SIB1
16.45	ENB PHY Txed	1645	0	0	2	0	0	MIB
16.4505	ENB PHY Txed	1645	0	1	2	0	0	UL_UCI
16.455	ENB PHY Txed	1645	5	0	2	0	0	SIB1
16.46	ENB PHY Txed	1646	0	0	2	0	0	MIB
16.465	ENB PHY Txed	1646	5	0	2	0	0	SIB1
16.47	ENB PHY Txed	1647	0	0	2	0	0	MIB
16.475	ENB PHY Txed	1647	5	0	2	0	0	SIB1
16.48	ENB PHY Txed	1648	0	0	2	0	0	MIB
16.485	ENB PHY Txed	1648	5	0	2	0	0	SIB1
16.49	ENB PHY Txed	1649	0	0	2	0	0	MIB
16.495	ENB PHY Txed	1649	5	0	2	0	0	SIB1
16.5	ENB PHY Txed	1650	0	0	2	0	0	MIB
16.5005	ENB PHY Txed	1650	0	1	2	0	0	UL_UCI
16.505	ENB PHY Txed	1650	5	0	2	0	0	UL_UCI
16.505	ENB PHY Txed	1650	5	0	2	0	0	SIB1
16.51	ENB PHY Txed	1651	0	0	2	0	0	MIB
16.51	ENB PHY Txed	1651	0	0	2	0	0	UL_UCI
16.5105	ENB PHY Txed	1651	0	1	2	0	0	UL_UCI
16.515	ENB PHY Txed	1651	5	0	2	0	0	SIB1
16.52	ENB PHY Txed	1652	0	0	2	0	0	MIB
16.525	ENB PHY Txed	1652	5	0	2	0	0	SIB1
16.53	ENB PHY Txed	1653	0	0	2	0	0	MIB
16.535	ENB PHY Txed	1653	5	0	2	0	0	SIB1
16.54	ENB PHY Txed	1654	0	0	2	0	0	MIB
16.545	ENB PHY Txed	1654	5	0	2	0	0	SIB1
16.55	ENB PHY Txed	1655	0	0	2	0	0	MIB
16.5505	ENB PHY Txed	1655	0	1	2	0	0	UL_UCI
16.555	ENB PHY Txed	1655	5	0	2	0	0	SIB1
16.56	ENB PHY Txed	1656	0	0	2	0	0	MIB
16.565	ENB PHY Txed	1656	5	0	2	0	0	SIB1
16.57	ENB PHY Txed	1657	0	0	2	0	0	MIB
16.575	ENB PHY Txed	1657	5	0	2	0	0	SIB1
16.58	ENB PHY Txed	1658	0	0	2	0	0	MIB
16.585	ENB PHY Txed	1658	5	0	2	0	0	SIB1
16.59	ENB PHY Txed	1659	0	0	2	0	0	MIB
16.595	ENB PHY Txed	1659	5	0	2	0	0	SIB1
16.6	ENB PHY Txed	1660	0	0	2	0	0	MIB
16.6005	ENB PHY Txed	1660	0	1	2	0	0	UL_UCI
16.605	ENB PHY Txed	1660	5	0	2	0	0	SIB1
16.605	ENB PHY Txed	1660	5	0	2	0	0	UL_UCI
16.61	ENB PHY Txed	1661	0	0	2	0	0	MIB
16.61	ENB PHY Txed	1661	0	0	2	0	0	UL_UCI
16.6105	ENB PHY Txed	1661	0	1	2	0	0	UL_UCI
16.615	ENB PHY Txed	1661	5	0	2	0	0	SIB1
16.62	ENB PHY Txed	1662	0	0	2	0	0	MIB
16.625	ENB PHY Txed	1662	5	0	2	0	0	SIB1
16.63	ENB PHY Txed	1663	0	0	2	0	0	MIB
16.635	ENB PHY Txed	1663	5	0	2	0	0	SIB1
16.64	ENB PHY Txed	1664	0	0	2	0	0	MIB
16.645	ENB PHY Txed	1664	5	0	2	0	0	SIB1
16.65	ENB PHY Txed	1665	0	0	2	0	0	MIB
16.6505	ENB PHY Txed	1665	0	1	2	0	0	UL_UCI
16.655	ENB PHY Txed	1665	5	0	2	0	0	SIB1
16.66	ENB PHY Txed	1666	0	0	2	0	0	MIB
16.665	ENB PHY Txed	1666	5	0	2	0	0	SIB1
16.67	ENB PHY Txed	1667	0	0	2	0	0	MIB
16.675	ENB PHY Txed	1667	5	0	2	0	0	SIB1
16.68	ENB PHY Txed	1668	0	0	2	0	0	MIB
16.685	ENB PHY Txed	1668	5	0	2	0	0	SIB1
16.69	ENB PHY Txed	1669	0	0	2	0	0	MIB
16.695	ENB PHY Txed	1669	5	0	2	0	0	SIB1
16.7	ENB PHY Txed	1670	0	0	2	0	0	MIB
16.7005	ENB PHY Txed	1670	0	1	2	0	0	UL_UCI
16.705	ENB PHY Txed	1670	5	0	2	0	0	UL_UCI
16.705	ENB PHY Txed	1670	5	0	2	0	0	SIB1
16.71	ENB PHY Txed	1671	0	0	2	0	0	MIB
16.71	ENB PHY Txed	1671	0	0	2	0	0	UL_UCI
16.7105	ENB PHY Txed	1671	0	1	2	0	0	UL_UCI
16.715	ENB PHY Txed	1671	5	0	2	0	0	SIB1
16.72	ENB PHY Txed	1672	0	0	2	0	0	MIB
16.725	ENB PHY Txed	1672	5	0	2	0	0	SIB1
16.73	ENB PHY Txed	1673	0	0	2	0	0	MIB
16.735	ENB PHY Txed	1673	5	0	2	0	0	SIB1
16.74	ENB PHY Txed	1674	0	0	2	0	0	MIB
16.745	ENB PHY Txed	1674	5	0	2	0	0	SIB1
16.75	ENB PHY Txed	1675	0	0	2	0	0	MIB
16.7505	ENB PHY Txed	1675	0	1	2	0	0	UL_UCI
16.755	ENB PHY Txed	1675	5	0	2	0	0	SIB1
16.76	ENB PHY Txed	1676	0	0	2	0	0	MIB
16.765	ENB PHY Txed	1676	5	0	2	0	0	SIB1
16.77	ENB PHY Txed	1677	0	0	2	0	0	MIB
16.775	ENB PHY Txed	1677	5	0	2	0	0	SIB1
16.78	ENB PHY Txed	1678	0	0	2	0	0	MIB
16.785	ENB PHY Txed	1678	5	0	2	0	0	SIB1
16.79	ENB PHY Txed	1679	0	0	2	0	0	MIB
16.795	ENB PHY Txed	1679	5	0	2	0	0	SIB1
16.8	ENB PHY Txed	1680	0	0	2	0	0	MIB
16.8005	ENB PHY Txed	1680	0	1	2	0	0	UL_UCI
16.805	ENB PHY Txed	1680	5	0	2	0	0	SIB1
16.805	ENB PHY Txed	1680	5	0	2	0	0	UL_UCI
16.81	ENB PHY Txed	1681	0	0	2	0	0	MIB
16.81	ENB PHY Txed	1681	0	0	2	0	0	UL_UCI
16.8105	ENB PHY Txed	1681	0	1	2	0	0	UL_UCI
16.815	ENB PHY Txed	1681	5	0	2	0	0	SIB1
16.82	ENB PHY Txed	1682	0	0	2	0	0	MIB
16.825	ENB PHY Txed	1682	5	0	2	0	0	SIB1
16.83	ENB PHY Txed	1683	0	0	2	0	0	MIB
16.835	ENB PHY Txed	1683	5	0	2	0	0	SIB1
16.84	ENB PHY Txed	1684	0	0	2	0	0	MIB
16.845	ENB PHY Txed	1684	5	0	2	0	0	SIB1
16.85	ENB PHY Txed	1685	0	0	2	0	0	MIB
16.8505	ENB PHY Txed	1685	0	1	2	0	0	UL_UCI
16.855	ENB PHY Txed	1685	5	0	2	0	0	SIB1
16.86	ENB PHY Txed	1686	0	0	2	0	0	MIB
16.865	ENB PHY Txed	1686	5	0	2	0	0	SIB1
16.87	ENB PHY Txed	1687	0	0	2	0	0	MIB
16.875	ENB PHY Txed	1687	5	0	2	0	0	SIB1
16.88	ENB PHY Txed	1688	0	0	2	0	0	MIB
16.885	ENB PHY Txed	1688	5	0	2	0	0	SIB1
16.89	ENB PHY Txed	1689	0	0	2	0	0	MIB
16.895	ENB PHY Txed	1689	5	0	2	0	0	SIB1
16.9	ENB PHY Txed	1690	0	0	2	0	0	MIB
16.9005	ENB PHY Txed	1690	0	1	2	0	0	UL_UCI
16.905	ENB PHY Txed	1690	5	0	2	0	0	UL_UCI
16.905	ENB PHY Txed	1690	5	0	2	0	0	SIB1
16.91	ENB PHY Txed	1691	0	0	2	0	0	MIB
16.91	ENB PHY Txed	1691	0	0	2	0	0	UL_UCI
16.9105	ENB PHY Txed	1691	0	1	2	0	0	UL_UCI
16.915	ENB PHY Txed	1691	5	0	2	0	0	SIB1
16.92	ENB PHY Txed	1692	0	0	2	0	0	MIB
16.925	ENB PHY Txed	1692	5	0	2	0	0	SIB1
16.93	ENB PHY Txed	1693	0	0	2	0	0	MIB
16.935	ENB PHY Txed	1693	5	0	2	0	0	SIB1
16.94	ENB PHY Txed	1694	0	0	2	0	0	MIB
16.945	ENB PHY Txed	1694	5	0	2	0	0	SIB1
16.95	ENB PHY Txed	1695	0	0	2	0	0	MIB
16.9505	ENB PHY Txed	1695	0	1	2	0	0	UL_UCI
16.955	ENB PHY Txed	1695	5	0	2	0	0	SIB1
16.96	ENB PHY Txed	1696	0	0	2	0	0	MIB
16.965	ENB PHY Txed	1696	5	0	2	0	0	SIB1
16.97	ENB PHY Txed	1697	0	0	2	0	0	MIB
16.975	ENB PHY Txed	1697	5	0	2	0	0	SIB1
16.98	ENB PHY Txed	1698	0	0	2	0	0	MIB
16.985	ENB PHY Txed	1698	5	0	2	0	0	SIB1
16.99	ENB PHY Txed	1699	0	0	2	0	0	MIB
16.995	ENB PHY Txed	1699	5	0	2	0	0	SIB1
17	ENB PHY Txed	1700	0	0	2	0	0	MIB
17.0005	ENB PHY Txed	1700	0	1	2	0	0	UL_UCI
17.005	ENB PHY Txed	1700	5	0	2	0	0	UL_UCI
17.005	ENB PHY Txed	1700	5	0	2	0	0	SIB1
17.01	ENB PHY Txed	1701	0	0	2	0	0	UL_UCI
17.01	ENB PHY Txed	1701	0	0	2	0	0	MIB
17.0105	ENB PHY Txed	1701	0	1	2	0	0	UL_UCI
17.015	ENB PHY Txed	1701	5	0	2	0	0	SIB1
17.02	ENB PHY Txed	1702	0	0	2	0	0	MIB
17.025	ENB PHY Txed	1702	5	0	2	0	0	SIB1
17.03	ENB PHY Txed	1703	0	0	2	0	0	MIB
17.035	ENB PHY Txed	1703	5	0	2	0	0	SIB1
17.04	ENB PHY Txed	1704	0	0	2	0	0	MIB
17.045	ENB PHY Txed	1704	5	0	2	0	0	SIB1
17.05	ENB PHY Txed	1705	0	0	2	0	0	MIB
17.0505	ENB PHY Txed	1705	0	1	2	0	0	UL_UCI
17.055	ENB PHY Txed	1705	5	0	2	0	0	SIB1
17.06	ENB PHY Txed	1706	0	0	2	0	0	MIB
17.065	ENB PHY Txed	1706	5	0	2	0	0	SIB1
17.07	ENB PHY Txed	1707	0	0	2	0	0	MIB
17.075	ENB PHY Txed	1707	5	0	2	0	0	SIB1
17.08	ENB PHY Txed	1708	0	0	2	0	0	MIB
17.085	ENB PHY Txed	1708	5	0	2	0	0	SIB1
17.09	ENB PHY Txed	1709	0	0	2	0	0	MIB
17.095	ENB PHY Txed	1709	5	0	2	0	0	SIB1
17.1	ENB PHY Txed	1710	0	0	2	0	0	MIB
17.1005	ENB PHY Txed	1710	0	1	2	0	0	UL_UCI
17.105	ENB PHY Txed	1710	5	0	2	0	0	UL_UCI
17.105	ENB PHY Txed	1710	5	0	2	0	0	SIB1
17.11	ENB PHY Txed	1711	0	0	2	0	0	MIB
17.11	ENB PHY Txed	1711	0	0	2	0	0	UL_UCI
17.1105	ENB PHY Txed	1711	0	1	2	0	0	UL_UCI
17.115	ENB PHY Txed	1711	5	0	2	0	0	SIB1
17.12	ENB PHY Txed	1712	0	0	2	0	0	MIB
17.125	ENB PHY Txed	1712	5	0	2	0	0	SIB1
17.13	ENB PHY Txed	1713	0	0	2	0	0	MIB
17.135	ENB PHY Txed	1713	5	0	2	0	0	SIB1
17.14	ENB PHY Txed	1714	0	0	2	0	0	MIB
17.145	ENB PHY Txed	1714	5	0	2	0	0	SIB1
17.15	ENB PHY Txed	1715	0	0	2	0	0	MIB
17.1505	ENB PHY Txed	1715	0	1	2	0	0	UL_UCI
17.155	ENB PHY Txed	1715	5	0	2	0	0	SIB1
17.16	ENB PHY Txed	1716	0	0	2	0	0	MIB
17.165	ENB PHY Txed	1716	5	0	2	0	0	SIB1
17.17	ENB PHY Txed	1717	0	0	2	0	0	MIB
17.175	ENB PHY Txed	1717	5	0	2	0	0	SIB1
17.18	ENB PHY Txed	1718	0	0	2	0	0	MIB
17.185	ENB PHY Txed	1718	5	0	2	0	0	SIB1
17.19	ENB PHY Txed	1719	0	0	2	0	0	MIB
17.195	ENB PHY Txed	1719	5	0	2	0	0	SIB1
17.2	ENB PHY Txed	1720	0	0	2	0	0	MIB
17.2005	ENB PHY Txed	1720	0	1	2	0	0	UL_UCI
17.205	ENB PHY Txed	1720	5	0	2	0	0	UL_UCI
17.205	ENB PHY Txed	1720	5	0	2	0	0	SIB1
17.21	ENB PHY Txed	1721	0	0	2	0	0	UL_UCI
17.21	ENB PHY Txed	1721	0	0	2	0	0	MIB
17.2105	ENB PHY Txed	1721	0	1	2	0	0	UL_UCI
17.215	ENB PHY Txed	1721	5	0	2	0	0	SIB1
17.22	ENB PHY Txed	1722	0	0	2	0	0	MIB
17.225	ENB PHY Txed	1722	5	0	2	0	0	SIB1
17.23	ENB PHY Txed	1723	0	0	2	0	0	MIB
17.235	ENB PHY Txed	1723	5	0	2	0	0	SIB1
17.24	ENB PHY Txed	1724	0	0	2	0	0	MIB
17.245	ENB PHY Txed	1724	5	0	2	0	0	SIB1
17.25	ENB PHY Txed	1725	0	0	2	0	0	MIB
17.2505	ENB PHY Txed	1725	0	1	2	0	0	UL_UCI
17.255	ENB PHY Txed	1725	5	0	2	0	0	SIB1
17.26	ENB PHY Txed	1726	0	0	2	0	0	MIB
17.265	ENB PHY Txed	1726	5	0	2	0	0	SIB1
17.27	ENB PHY Txed	1727	0	0	2	0	0	MIB
17.275	ENB PHY Txed	1727	5	0	2	0	0	SIB1
17.28	ENB PHY Txed	1728	0	0	2	0	0	MIB
17.285	ENB PHY Txed	1728	5	0	2	0	0	SIB1
17.29	ENB PHY Txed	1729	0	0	2	0	0	MIB
17.295	ENB PHY Txed	1729	5	0	2	0	0	SIB1
17.3	ENB PHY Txed	1730	0	0	2	0	0	MIB
17.3005	ENB PHY Txed	1730	0	1	2	0	0	UL_UCI
17.305	ENB PHY Txed	1730	5	0	2	0	0	UL_UCI
17.305	ENB PHY Txed	1730	5	0	2	0	0	SIB1
17.31	ENB PHY Txed	1731	0	0	2	0	0	UL_UCI
17.31	ENB PHY Txed	1731	0	0	2	0	0	MIB
17.3105	ENB PHY Txed	1731	0	1	2	0	0	UL_UCI
17.315	ENB PHY Txed	1731	5	0	2	0	0	SIB1
17.32	ENB PHY Txed	1732	0	0	2	0	0	MIB
17.325	ENB PHY Txed	1732	5	0	2	0	0	SIB1
17.33	ENB PHY Txed	1733	0	0	2	0	0	MIB
17.335	ENB PHY Txed	1733	5	0	2	0	0	SIB1
17.34	ENB PHY Txed	1734	0	0	2	0	0	MIB
17.345	ENB PHY Txed	1734	5	0	2	0	0	SIB1
17.35	ENB PHY Txed	1735	0	0	2	0	0	MIB
17.3505	ENB PHY Txed	1735	0	1	2	0	0	UL_UCI
17.355	ENB PHY Txed	1735	5	0	2	0	0	SIB1
17.36	ENB PHY Txed	1736	0	0	2	0	0	MIB
17.365	ENB PHY Txed	1736	5	0	2	0	0	SIB1
17.37	ENB PHY Txed	1737	0	0	2	0	0	MIB
17.375	ENB PHY Txed	1737	5	0	2	0	0	SIB1
17.38	ENB PHY Txed	1738	0	0	2	0	0	MIB
17.385	ENB PHY Txed	1738	5	0	2	0	0	SIB1
17.39	ENB PHY Txed	1739	0	0	2	0	0	MIB
17.395	ENB PHY Txed	1739	5	0	2	0	0	SIB1
17.4	ENB PHY Txed	1740	0	0	2	0	0	MIB
17.4005	ENB PHY Txed	1740	0	1	2	0	0	UL_UCI
17.405	ENB PHY Txed	1740	5	0	2	0	0	SIB1
17.405	ENB PHY Txed	1740	5	0	2	0	0	UL_UCI
17.41	ENB PHY Txed	1741	0	0	2	0	0	MIB
17.41	ENB PHY Txed	1741	0	0	2	0	0	UL_UCI
17.4105	ENB PHY Txed	1741	0	1	2	0	0	UL_UCI
17.415	ENB PHY Txed	1741	5	0	2	0	0	SIB1
17.42	ENB PHY Txed	1742	0	0	2	0	0	MIB
17.425	ENB PHY Txed	1742	5	0	2	0	0	SIB1
17.43	ENB PHY Txed	1743	0	0	2	0	0	MIB
17.435	ENB PHY Txed	1743	5	0	2	0	0	SIB1
17.44	ENB PHY Txed	1744	0	0	2	0	0	MIB
17.445	ENB PHY Txed	1744	5	0	2	0	0	SIB1
17.45	ENB PHY Txed	1745	0	0	2	0	0	MIB
17.4505	ENB PHY Txed	1745	0	1	2	0	0	UL_UCI
17.455	ENB PHY Txed	1745	5	0	2	0	0	SIB1
17.46	ENB PHY Txed	1746	0	0	2	0	0	MIB
17.465	ENB PHY Txed	1746	5	0	2	0	0	SIB1
17.47	ENB PHY Txed	1747	0	0	2	0	0	MIB
17.475	ENB PHY Txed	1747	5	0	2	0	0	SIB1
17.48	ENB PHY Txed	1748	0	0	2	0	0	MIB
17.485	ENB PHY Txed	1748	5	0	2	0	0	SIB1
17.49	ENB PHY Txed	1749	0	0	2	0	0	MIB
17.495	ENB PHY Txed	1749	5	0	2	0	0	SIB1
17.5	ENB PHY Txed	1750	0	0	2	0	0	MIB
17.5005	ENB PHY Txed	1750	0	1	2	0	0	UL_UCI
17.505	ENB PHY Txed	1750	5	0	2	0	0	UL_UCI
17.505	ENB PHY Txed	1750	5	0	2	0	0	SIB1
17.51	ENB PHY Txed	1751	0	0	2	0	0	UL_UCI
17.51	ENB PHY Txed	1751	0	0	2	0	0	MIB
17.5105	ENB PHY Txed	1751	0	1	2	0	0	UL_UCI
17.515	ENB PHY Txed	1751	5	0	2	0	0	SIB1
17.52	ENB PHY Txed	1752	0	0	2	0	0	MIB
17.525	ENB PHY Txed	1752	5	0	2	0	0	SIB1
17.53	ENB PHY Txed	1753	0	0	2	0	0	MIB
17.535	ENB PHY Txed	1753	5	0	2	0	0	SIB1
17.54	ENB PHY Txed	1754	0	0	2	0	0	MIB
17.545	ENB PHY Txed	1754	5	0	2	0	0	SIB1
17.55	ENB PHY Txed	1755	0	0	2	0	0	MIB
17.5505	ENB PHY Txed	1755	0	1	2	0	0	UL_UCI
17.555	ENB PHY Txed	1755	5	0	2	0	0	SIB1
17.56	ENB PHY Txed	1756	0	0	2	0	0	MIB
17.565	ENB PHY Txed	1756	5	0	2	0	0	SIB1
17.57	ENB PHY Txed	1757	0	0	2	0	0	MIB
17.575	ENB PHY Txed	1757	5	0	2	0	0	SIB1
17.58	ENB PHY Txed	1758	0	0	2	0	0	MIB
17.585	ENB PHY Txed	1758	5	0	2	0	0	SIB1
17.59	ENB PHY Txed	1759	0	0	2	0	0	MIB
17.595	ENB PHY Txed	1759	5	0	2	0	0	SIB1
17.6	ENB PHY Txed	1760	0	0	2	0	0	MIB
17.6005	ENB PHY Txed	1760	0	1	2	0	0	UL_UCI
17.605	ENB PHY Txed	1760	5	0	2	0	0	UL_UCI
17.605	ENB PHY Txed	1760	5	0	2	0	0	SIB1
17.61	ENB PHY Txed	1761	0	0	2	0	0	UL_UCI
17.61	ENB PHY Txed	1761	0	0	2	0	0	MIB
17.6105	ENB PHY Txed	1761	0	1	2	0	0	UL_UCI
17.615	ENB PHY Txed	1761	5	0	2	0	0	SIB1
17.62	ENB PHY Txed	1762	0	0	2	0	0	MIB
17.625	ENB PHY Txed	1762	5	0	2	0	0	SIB1
17.63	ENB PHY Txed	1763	0	0	2	0	0	MIB
17.635	ENB PHY Txed	1763	5	0	2	0	0	SIB1
17.64	ENB PHY Txed	1764	0	0	2	0	0	MIB
17.645	ENB PHY Txed	1764	5	0	2	0	0	SIB1
17.65	ENB PHY Txed	1765	0	0	2	0	0	MIB
17.6505	ENB PHY Txed	1765	0	1	2	0	0	UL_UCI
17.655	ENB PHY Txed	1765	5	0	2	0	0	SIB1
17.66	ENB PHY Txed	1766	0	0	2	0	0	MIB
17.665	ENB PHY Txed	1766	5	0	2	0	0	SIB1
17.67	ENB PHY Txed	1767	0	0	2	0	0	MIB
17.675	ENB PHY Txed	1767	5	0	2	0	0	SIB1
17.68	ENB PHY Txed	1768	0	0	2	0	0	MIB
17.685	ENB PHY Txed	1768	5	0	2	0	0	SIB1
17.69	ENB PHY Txed	1769	0	0	2	0	0	MIB
17.695	ENB PHY Txed	1769	5	0	2	0	0	SIB1
17.7	ENB PHY Txed	1770	0	0	2	0	0	MIB
17.7005	ENB PHY Txed	1770	0	1	2	0	0	UL_UCI
17.705	ENB PHY Txed	1770	5	0	2	0	0	UL_UCI
17.705	ENB PHY Txed	1770	5	0	2	0	0	SIB1
17.71	ENB PHY Txed	1771	0	0	2	0	0	MIB
17.71	ENB PHY Txed	1771	0	0	2	0	0	UL_UCI
17.7105	ENB PHY Txed	1771	0	1	2	0	0	UL_UCI
17.715	ENB PHY Txed	1771	5	0	2	0	0	SIB1
17.72	ENB PHY Txed	1772	0	0	2	0	0	MIB
17.725	ENB PHY Txed	1772	5	0	2	0	0	SIB1
17.73	ENB PHY Txed	1773	0	0	2	0	0	MIB
17.735	ENB PHY Txed	1773	5	0	2	0	0	SIB1
17.74	ENB PHY Txed	1774	0	0	2	0	0	MIB
17.745	ENB PHY Txed	1774	5	0	2	0	0	SIB1
17.75	ENB PHY Txed	1775	0	0	2	0	0	MIB
17.7505	ENB PHY Txed	1775	0	1	2	0	0	UL_UCI
17.755	ENB PHY Txed	1775	5	0	2	0	0	SIB1
17.76	ENB PHY Txed	1776	0	0	2	0	0	MIB
17.765	ENB PHY Txed	1776	5	0	2	0	0	SIB1
17.77	ENB PHY Txed	1777	0	0	2	0	0	MIB
17.775	ENB PHY Txed	1777	5	0	2	0	0	SIB1
17.78	ENB PHY Txed	1778	0	0	2	0	0	MIB
17.785	ENB PHY Txed	1778	5	0	2	0	0	SIB1
17.79	ENB PHY Txed	1779	0	0	2	0	0	MIB
17.795	ENB PHY Txed	1779	5	0	2	0	0	SIB1
17.8	ENB PHY Txed	1780	0	0	2	0	0	MIB
17.8005	ENB PHY Txed	1780	0	1	2	0	0	UL_UCI
17.805	ENB PHY Txed	1780	5	0	2	0	0	SIB1
17.805	ENB PHY Txed	1780	5	0	2	0	0	UL_UCI
17.81	ENB PHY Txed	1781	0	0	2	0	0	MIB
17.81	ENB PHY Txed	1781	0	0	2	0	0	UL_UCI
17.8105	ENB PHY Txed	1781	0	1	2	0	0	UL_UCI
17.815	ENB PHY Txed	1781	5	0	2	0	0	SIB1
17.82	ENB PHY Txed	1782	0	0	2	0	0	MIB
17.825	ENB PHY Txed	1782	5	0	2	0	0	SIB1
17.83	ENB PHY Txed	1783	0	0	2	0	0	MIB
17.835	ENB PHY Txed	1783	5	0	2	0	0	SIB1
17.84	ENB PHY Txed	1784	0	0	2	0	0	MIB
17.845	ENB PHY Txed	1784	5	0	2	0	0	SIB1
17.85	ENB PHY Txed	1785	0	0	2	0	0	MIB
17.8505	ENB PHY Txed	1785	0	1	2	0	0	UL_UCI
17.855	ENB PHY Txed	1785	5	0	2	0	0	SIB1
17.86	ENB PHY Txed	1786	0	0	2	0	0	MIB
17.865	ENB PHY Txed	1786	5	0	2	0	0	SIB1
17.87	ENB PHY Txed	1787	0	0	2	0	0	MIB
17.875	ENB PHY Txed	1787	5	0	2	0	0	SIB1
